Ronda,ID,Perfil,Tarea que se pide al participante,CU cubiertos,Criterio de exito,Tiempo objetivo,Tasa exito objetivo,Ley/heuristica,Prioridad,Soporte
1,PU-REG-01,P1/P3,"Entra por primera vez: crea tu cuenta y llega al catalogo de convocatorias","CU-REG-001, CU-REG-002",Llega al catalogo sin ayuda y sin volver atras mas de una vez,180 s,90%,Jakob; Zeigarnik,Critica,Django
1,PU-REG-02,P1,"Vuelve a entrar meses despues con el correo que ya usaste",CU-REG-002,No intenta buscar contrasena ni boton de registro,90 s,95%,Jakob,Critica,Django
1,PU-REG-03,P3,"No te llego el codigo: consiguelo de nuevo",CU-REG-002 A1,Encuentra Reenviar y entiende por que esta deshabilitado 60 s,60 s,85%,Doherty; tono,Alta,Django
1,PU-REG-04,P1,"Teclea mal el codigo dos veces y luego entra",CU-REG-002 E1,Entiende cuantos intentos le quedan y que pasa al agotarlos,120 s,85%,Postel; tono,Alta,Django
1,PU-REG-05,P5,"Entra como administrador de tu modulo",CU-REG-003,Distingue el acceso admin del de participante sin preguntarlo,120 s,90%,Hick,Critica,Django
1,PU-REG-06,P5,"Cierra tu sesion y verifica que quedo cerrada",CU-REG-004,Encuentra Salir en la barra superior a la primera,45 s,95%,Jakob,Media,Django
1,PU-FER-01,P1/P3,"Elige la edicion de la feria en la que vas a participar",CU-FER-010,Reconoce que esta eligiendo edicion y no modulo,60 s,90%,Hick,Alta,Django
1,PU-FER-02,P5,"Entra a la feria 2027 teniendo acceso a dos ediciones",CU-FER-002,No confunde edicion con modulo; sabe en cual quedo,60 s,90%,Miller; acento por dominio,Alta,Django
1,PU-FER-03,P1/P3,"Di cuales convocatorias estan abiertas hoy y cual te toca",CU-FER-006,Identifica estado abierta/cerrada por texto y no solo por color,90 s,90%,Estado color+texto; Hick,Critica,Django
1,PU-FER-04,P6,"Da acceso de administrador a una persona de tu equipo",CU-FER-003,Alta correcta a la primera; entiende que el acceso es por feria,150 s,90%,Jakob,Alta,Django
1,PU-FER-05,P6,"Retira el acceso de un administrador que ya no colabora",CU-FER-004,No retira al equivocado; la confirmacion dice a quien y con que efecto,120 s,95%,Fitts (destructiva separada),Critica,Django
1,PU-FER-06,P6,"Da de alta la convocatoria de Eventos con sus fechas",CU-FER-005,Distingue fechas anunciadas de estado de la convocatoria,240 s,85%,Miller,Alta,Pendiente
1,PU-FER-07,P6,"Cierra hoy la convocatoria de Eventos, antes de su fecha",CU-FER-008 y CU-FER-007,"Usa el control de estado, NO la fecha de cierre",120 s,90%,Comprension: fecha != estado,Critica,Pendiente
1,PU-FER-08,P6,"Elimina una convocatoria que se creo por error",CU-FER-009,Entiende el alcance del borrado antes de confirmar,90 s,95%,Fitts; tono,Alta,Pendiente
1,PU-FER-09,P7,"Crea la feria 2028 y designa a su dueno; deja que la vean los participantes",CU-FER-001 y CU-FER-010,Descubre que nace en_preparacion y la activa sin ayuda,300 s,80%,Visibilidad del estado del sistema,Alta,Django (django-admin/CLI)
2,PU-EVT-01,P1,"Averigua si tu actividad cabe en esta convocatoria y cuando cierra",CU-EVT-001 (lado aplicante),Encuentra tipo de actividad admitido y fecha limite sin abrir el PDF,120 s,85%,Hick,Alta,Prototipo
2,PU-EVT-02,P1,"Registra una charla con un ponente y un adjunto",CU-EVT-002,Termina el formulario sin abandonar ni perder datos,12 min,85%,Hick; Miller; Zeigarnik,Critica,Prototipo
2,PU-EVT-03,P1,"Registra una presentacion de libro (campos extra + ejemplar fisico)",CU-EVT-002 A1,Nota que debe enviar el ejemplar fisico y lo dice sin que se le pregunte,15 min,80%,Divulgacion progresiva,Critica,Prototipo
2,PU-EVT-04,P1,"Envia el formulario con un campo obligatorio vacio y corrige",CU-EVT-002 E,No pierde lo capturado; encuentra el campo senalado a la primera,120 s,90%,Postel; tono,Critica,Prototipo
2,PU-EVT-05,P1,"Dinos en que va tu propuesta y cual es su folio",CU-EVT-003,Lee el estado y el folio sin interpretarlos mal,60 s,95%,Peak-end; Miller,Alta,Prototipo
2,PU-EVT-06,P1,"Te pidieron cambios: averigua cuales y reenvía",CU-EVT-004,Encuentra el comentario del administrador antes de editar,6 min,85%,Zeigarnik,Critica,Prototipo
2,PU-EVT-07,P1,"Descarga tu constancia de participacion",CU-EVT-005,La localiza sin recorrer todo el panel,90 s,90%,Jakob,Media,Pendiente
2,PU-EVT-08,P5,"Encuentra las propuestas pendientes de literatura de esta semana",CU-EVT-007 y CU-EVT-011,Usa filtros en vez de recorrer la lista,120 s,90%,Hick (3 filtros visibles),Alta,Prototipo
2,PU-EVT-09,P5,"Revisa esta propuesta y aceptala con su categoria",CU-EVT-008 y CU-EVT-009,Dictamina la propuesta correcta; entiende que se crea la Actividad,5 min,90%,Fitts,Critica,Prototipo
2,PU-EVT-10,P5,"Pide cambios a una propuesta y rechaza otra",CU-EVT-009,No confunde rechazar con pedir cambios; la destructiva no es adyacente,5 min,90%,Fitts; tono,Critica,Prototipo
2,PU-EVT-11,P5,"Notifica el resultado a las 40 propuestas dictaminadas",CU-EVT-010,Entiende a quienes va antes de enviar; ve progreso al enviar,4 min,85%,Doherty; confirmacion,Critica,Prototipo
2,PU-EVT-12,P5,"Marca que ya llego el ejemplar fisico de una propuesta",CU-EVT-012,Encuentra el toggle en lista o detalle,60 s,90%,Fitts,Media,Prototipo
2,PU-EVT-13,P5,"Configura fechas y cupos de la convocatoria del proximo ano",CU-EVT-001,Termina sin dejar campos ambiguos ni pedir ayuda,8 min,80%,Miller,Alta,Prototipo
2,PU-EVT-14,P5,"Genera la ficha PDF de una actividad para el programa",CU-EVT-006,Obtiene el PDF y sabe que contiene,90 s,90%,Doherty,Media,Pendiente
2,PU-VIS-01,P3,"Registra tu escuela con tres grupos de secundaria",CU-VIS-001,Completa escuela + contacto + 3 grupos sin abandonar,15 min,85%,Hick; Miller; Zeigarnik,Critica,Prototipo
