ACTOR,ID,Título,Estado,Backend actions,Frontend Views,Complexity,Agosto,Septiembre,Octubre,Noviembre,Comparte con
Administrador,CU-EVT-001,Configurar la convocatoria,Pendiente,UPDATE ConfiguracionConvocatoria,Complex form view,High,X,,,,—
Aplicante,CU-EVT-002,Registro de la propuesta de la actividad,Construido 2026-09-01,CREATE Solicitud / CREATE Actividad_* / CREATE Documento / CREATE RegistroConvocatoria,"Complex form (campos dinámicos por tipo, herencia multitabla) w/ file uploading",High,X,,,,REG (identidad); FER (RegistroConvocatoria); espejo de CU-STD-001
Aplicante,CU-EVT-003,Consultar mis propuestas y revisar su estado actual,Construido 2026-09-02,READ Solicitud <List> / GET Documento,List view + detail page,Low,,X,,,"Espejo de CU-STD-003; es la puerta del módulo (ADR-0006); trajo la cola de adjuntos en espera"
Aplicante,CU-EVT-004,Editar una propuesta tras solicitud de cambios,Pendiente,UPDATE Solicitud / UPDATE Actividad_*,Pre-filled complex form,High,,X,,,Espejo de CU-STD-002; reusa los formularios de CU-EVT-002
Aplicante,CU-EVT-005,Descargar constancia de participación,Pendiente,READ Actividad → PDF,Download button + PDF,Medium,,,X,,—
Administrador,CU-EVT-006,Generar la ficha PDF de una actividad individual,Pendiente,READ Actividad → PDF,Button + PDF render,Medium,,,X,,—
Administrador,CU-EVT-007,"Consultar la lista de propuestas, filtrable",Construido 2026-09-03,READ Solicitud <List>,Filterable list view,Medium,,X,,,Espejo de CU-STD-004; primera pantalla del panel del módulo (ADR-0006)
Administrador,CU-EVT-008,Revisar el detalle de una propuesta,Construido 2026-09-03,READ Solicitud / Actividad_* / Documento,Detailed information view,Medium,,X,,,Espejo de CU-STD-005
Administrador,CU-EVT-009,Dictaminar una propuesta (aceptar / cambios / rechazar),Construido 2026-09-03,UPDATE Solicitud (estado + categoría + es_uady_confirmado),Button + modal form (dictamen + categoría),High,,X,,,Espejo de CU-STD-006 y CU-STD-007; dispara PRG al aceptar; es quien asigna la categoría
Sistema,CU-EVT-010,Enviar notificaciones de resultado en lote,Pendiente,CREATE NotificacionLote / UPDATE Solicitud,Batch confirmation modal + email,Medium,,X,,,REG; espejo de CU-STD-008; trae consigo el rastro de entrega que CU-EVT-002 no necesitó
Administrador,CU-EVT-011,Visualizar el número de propuestas por estado,Construido 2026-09-03,READ Solicitud <count>,Counter tiles / dashboard,Low,,X,,,—
Administrador,CU-EVT-012,Marcar la recepción del ejemplar físico,Pendiente,UPDATE Solicitud (ejemplar_fisico_entregado),Toggle en lista/detalle,Low,,X,,,Solo aplica a presentación de libro y de revista
,,,,,,,,,,,
,,,,,,High,4,,,,
,,,,,,Medium,5,,,,
,,,,,,Low,3,,,,
,,,,,,,,,,,
,,Construidos,6 de 12,,,,,,,,
